external_parent_id,chunk_id,chunk_index,queue_category,vertical,interaction_type,issue_type,escalation,answer_status,question_en,question_ar,has_embedding,chunk_text
1080,31202192408e52198222323b6ed7e8e3,0,halan,Saving,Inquiry,Non-Technical Issue,No,ok,The client asks about the profit that appears on the application,العميل بيسال علي اي الربح اللي بيظهر عنده علي الابلكيشن,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: The client asks about the profit that appears on the application
Question AR: العميل بيسال علي اي الربح اللي بيظهر عنده علي الابلكيشن

Script:
العميل بيسال علي اي الريح اللي بيظهر عنده علي الابلكيشن The client asks about the profit that appears on the application
شباب فى حالا تحويش
يعنى ايه الربح اللى بيبقى ظاهر تحت المبلغ ده بيكون قيمه الربح اللى العميل درله ع المبلغ اللى اتعمله إيداع معادا من وقت وتاريخ الإبداع مثال انا عملت إيداع بقيمة 229 جنيه من شهرين لغاية دلوقتى نزلى عليهم ربح 8% بقيمه فلوس 18.17 جنيه من وقت ماعملت الإبداع وبقى توتال المبلغ 244.60 جنيه ولغايه ما اكمل السنه هاوصل للنسبه إلى هى 22% فالمبلغ يريد والعميل يقدر يتابع كل يوم الربح راد قد ايه ودزله مبلغ مقابل للريح ده قد ايه
10:54 5
حالا تحويش ٨
حساب التحويش
244.6 جنيه ® 2. الريح (8.02%) بقيمة 18.17 جنيه
?
حوش
ـيع
اراي لدوش؟
0.60 جية <
رصيدك
معاملاتي السابقة
عرض الكل >
٣٠ مايو ٢٠٢٤ . الخميس
29.57 ج.م ناجحة
استثمار نقدي
٣٠ مايو ٢٠٢٤ , الخميس
29.57 ج.م
بالتعاون مع azimut
E
١١:٤٣ ص"
1083,c17f67358b06577c83fb44dcd6ed32e1,0,halan,Saving,Inquiry,Non-Technical Issue,No,ok,ايه هو اقل مبلغ ممكن اكسبه؟,ايه هو اقل مبلغ ممكن اكسبه؟,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: ايه هو اقل مبلغ ممكن اكسبه؟
Question AR: ايه هو اقل مبلغ ممكن اكسبه؟

Script:
ايه هو اقل مبلغ ممكن اكسبه؟

وصل صندوق الاستثمار الخاص بنا الى 21 %

CRM: Inquiry → Non-Technical Issue | Escalation: No"
1091,cc316ed2a48856db89718be879a41951,0,halan,Pay,Request,Non-Technical Issue,Yes,ok,Employee wants to activate lending salary service,موظف يريد تفعيل خدمة الراتب المبكر,yes,"Vertical: Pay | Type: Request | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Employee wants to activate lending salary service
Question AR: موظف يريد تفعيل خدمة الراتب المبكر

Script:
*موظف يريد تفعيل خدمة الراتب المبكر:
Pay -> Request -> Employee wants to activate lending salary service
Escalation:Yes
هيتم تقديم طلب للقسم المختص وهيتم التواصل مع حضرتك خلال 48 ساعة عمل . ناخد بيانات العميل الاسم والرقم و الرقم الوظيفي و اسم الشركة. لو مضي العقد هنوضحله ان التفعيل بيكون خلال 48 ساعة عمل ..
في حالة العميل موظف في (حالا - مشروعي - تساهيل - طلبية) التقديم بيكون من خلال HR"
1113,73ea6b9a2feb55dab0c54e7c58babc53,0,halan,General,Request,Technical Issue,Yes,ok,Customer paid the installment and need to unlock the phone (Nokia c12),عميل يطلب فتح الموبايل مرة اخري بعد دفع الاقساط (Nokia),yes,"Vertical: General | Type: Request | Issue: Technical Issue | Escalation: Yes

Question EN: Customer paid the installment and need to unlock the phone (Nokia c12)
Question AR: عميل يطلب فتح الموبايل مرة اخري بعد دفع الاقساط (Nokia)

Script:
۔
عميل يطلب فتح الموبايل مرة اخرى بعد دفع الأقساط
في حالة العميل اشتري الموبايل من الفرع : هنوجه للفرع مرة اخري لايقاف الموبايل. في حالة شراء الموبايل من خلال التطبيق : هنتأكد من خلال CRM انه تم دفع الأقساط اولا ثم يتم فتح الموبايل للعميل من خلالنا مرة اخري.
Nokia -Request-Customer paid the installment and need to unlock the phone
Escalation: Yes"
1114,3c1c60e75c74519bb95874f7b9f7790b,0,halan,General,Request,Technical Issue,Yes,ok,Customer finished all the installments and need to remove the Locking Software (Nokia),عميل يطلب فتح الموبايل نهائيا بعد الانتهاء من دفع الاقساط (Nokia),yes,"Vertical: General | Type: Request | Issue: Technical Issue | Escalation: Yes

Question EN: Customer finished all the installments and need to remove the Locking Software (Nokia)
Question AR: عميل يطلب فتح الموبايل نهائيا بعد الانتهاء من دفع الاقساط (Nokia)

Script:
عميل يطلب فتح الموبايل نهائيا بعد الانتهاء من دفع الاقساط
في حالة العميل اشتري الموبايل من الفرع : هنوجه للفرع مرة اخري لايقاف الموبايل. - في حالة شراء الموبايل من خلال التطبيق : بعد التأكد من دفع جميع الاقساط من خلال CRM بنفتح القفل من خلالنا للعميل
Nokia -Request-Customer finished all the installments and need to remove the Locking Software
Escalation: Yes"
1118,12e8aac8ac2158ada71d0451a7d7e7e9,0,halan,Commerce,Complain,Non-Technical Issue,Yes,ok,Canceled Order – Money Not Return to Halan Card,شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا,yes,"Vertical: Commerce | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Canceled Order – Money Not Return to Halan Card
Question AR: شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا

Script:
شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا:
Halan Gomla → Complaints related to Product
انا بعتذر جدا لحضرتك استأذنك ممكن توضح لى الرقم اللى حضرتك طلبت بيه.
هيتم التأكد من تفاصيل أوردر العميل.
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في 48 ساعة عمل.
- Escalation: Yes"
1130,f86def67f17156a08d7aba59bbe1cb6d,0,halan,Saving,Request,Non-Technical Issue,No,ok,Customer signed contract with one number and wants to change to another,العميل مضى العقد برقم وعايز يغير ل رقم تانى,yes,"Vertical: Saving | Type: Request | Issue: Non-Technical Issue | Escalation: No

Question EN: Customer signed contract with one number and wants to change to another
Question AR: العميل مضى العقد برقم وعايز يغير ل رقم تانى

Script:
العميل مضى العقد برقم وعايز يغير ل رقم تانى:
ممكن اعرف اي سبب لتغير الرقم؟

لو السبب زي ان الرقم ضاع ومش قادر يسترجعه (الخط مش باسمه او خط شركات):
بنعتذر جدا لحضرتك ونوضح انه لا يوجد امكانية لتغيير رقم الموبايل المسجل.

- Escalation: No
- CRM: Request → Change Mobile Number → Escalation Needed No"
1131,3dbe7dbc067a5a1291f91484b7f7bed4,0,halan,Saving,Inquiry,Non-Technical Issue,No,ok,Difference between Tahweesh return and competitors,في حالة سؤال العميل عن الفرق بين العائد في حالا تحويش و اي منافس ؟,yes,"Vertical: Saving | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Difference between Tahweesh return and competitors
Question AR: في حالة سؤال العميل عن الفرق بين العائد في حالا تحويش و اي منافس ؟

Script:
في حالة سؤال العميل عن الفرق بين العائد في حالا تحويش و اي منافس؟
في الوقت الحالي العائد بتاعنا وصل لـ 21% ع السنة و ده اعلى عائد يومي في مصر، وحضرتك تقدر تشوف العائد السنوي للتطبيقات التي تقدم نفس الخدمة وصل لكام في الوقت الحالي.

- Escalation: No
- CRM: Inquiry → Interest Rate → Escalation Needed No"
1142,713de3de66695cafbba539c17c8e48ae,0,halan,Pay,Inquiry,Technical Issue,No,ok,Inquiry about Salary lending,عميل بيستفير عن الحد الاقصي للعمليات في نفس الشهر (كام سلفة يقدر يطلبها ف نفس الوقت),yes,"Vertical: Pay | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Inquiry about Salary lending
Question AR: عميل بيستفير عن الحد الاقصي للعمليات في نفس الشهر (كام سلفة يقدر يطلبها ف نفس الوقت)

Script:
* عميل بيستفير عن الحد الاقصى للعمليات في نفس الشهر (كام سلفة يقدر يطلبها ف نفس الوقت)؟
Pay <- Inquiry <- Inquiry about Salary lending
هنوضح للعميل انه يقدر يسحب لحد 30 عملية (سلفة) في نفس الوقت ولو هيحتاج عمليات تاني لازم يسدد من ال30 اللي ساحبهم الاول."
1144,087567863a3b5d88871a905d1b161e7b,0,halan,CF,Complain,Financial Issue,Yes,ok,Quality product,شكوى عميل من جودة المنتجات,yes,"Vertical: CF | Type: Complain | Issue: Financial Issue | Escalation: Yes

Question EN: Quality product
Question AR: شكوى عميل من جودة المنتجات

Script:
• شكوى عميل من جودة المنتجات Quality product
Halan Gomla - Complaints related to Product
إستاذنك ممكن توضح لى الرقم التى حضرتك طلبت بيه
سيتم كتابة تفاصيل الشكوى بالكامل (رقم الاوردر -نوع المنتج - الكمية - التفاصيل بالكامل)
لو تم دفع ثمنه: بعتذر لحضرتك جداً هيتم رد ثمن المنتج لحضرتك ع المحفظة ف خلال ساعة ومعاه مبلغ ع المحفظة كاعتذار مننا لو لم يتم دفع ثمنه: هينزل لحضرتك مبلغ اعتذار ع المحفظة ( ......... ) ف خلال ساعة
في الحالة دفع ثمنه: أستاذن حضرتك ممكن يتم ارسال صوره بالمشكله الموجوده فى المنتج ورقم الموبايل التي عمل الأوردر بيه حضرتك تقدر تبعت الصور على رقم الواتس اب 20216303+ على مدار اليوم لمساعدتنا فى عدم تكرار المشكله مره أخرى أو حضرتك مبعتش الصور هيتم الغاء الشكوى فى نهاية اليوم
أو المنتج أكثر من 100 جنيه ل 300 فيها فوق جنيه للس جوده التسليم وان في مندوب هيجى يستلم منه المنتج والمبلغ هيترد على الاحد الائتماني ف خلال 48 ساعة عمل ( معادا يوم الجمعة والسبت والاجازات الرسمية)
ف حاله CFJ والمنتج أزيد من 100 جنيه هنترد علي الاحد الائتماني ف خلال 48 ساعة عمل (معادا الجمعة والسبت والإجازات الرسمية) لو اقل من 100 جنيه هيترد للعميل علي المحفظه ف خلال ساعه + مبلغ اعتذار + مبلغ بنسبه الفايدة ع المنتج
(Escalation needed: Yes) بتقدر تستخدم المحفظة ف الطلب مرة أخري أو في شحن فاتورة بوبايلك او اى رقم اخر او تدفع فواتير الكهرباء والمياه أو التبرعات او حجز سفر ورحلات (جوباص -بلوياص - مصر للطيران) أو خدمات طبية أو خدمات الدفع (تحصيل قرض لبنك الاسكندرية او قرض تساهيل)
عميل حالا جمله طالب اوردر ومكتوب كرديت كارد بتسأل العميل حضرتك دافع من الكرديت كارد ولا من كارت حالا قال كارت حالا طب با من الأ، ولا حضرتك اللي عملت إبداع للفلوس ويتكتب ١٥ ف التكيت ولو of بتمشي زي ال cf اكثر من 100 هيرجع على الاحد الائتماني لو اقل من 100 هيرجع على المحفظه لو العميل هو اللي عمل إبداع للفلوس بتهتدل العميل المبلغ ينزل على المحفظة
حضرتك حايب المبلغ ينزل على المحفظه ولا على الكرديت كارد او كارت حالا شباب حالا جمله عميل credit card - cf عدي عليهم ال 48 ساعة ومعملش شكوى ف خلال المدة المحددة يتقدم لي الشكوي عادي ويناكد علي العميل ان هو بعد كده يكلمنا ف خلال 48 ساعة ل حل المشكلة أسرع ومساعدته"
1157,ec3dc027f3c85107b87f8c929b8ed8e5,0,halan,Pay,Request,Technical Issue,No,ok,Increase Salary Lending Amount,عميل يطلب زيادة قيمة الراتب المبكر,yes,"Vertical: Pay | Type: Request | Issue: Technical Issue | Escalation: No

Question EN: Increase Salary Lending Amount
Question AR: عميل يطلب زيادة قيمة الراتب المبكر

Script:
عميل يطلب زيادة قيمة الراتب المبكر:
Pay -> Request -> Increase Salary Lending Amount
Escalation: No
فى حالة طلب العميل زيادة فى قيمة الراتب المبكر : بنوضح للعميل يرجع لقسم الموراد البشرية (HR) وبيتم ارسال طلب من خلالهم لموظف شركة حالا المسؤل عن شركته .. ما عدا (غبور) هيتم تقديم طلب للعميل Escalation: Yes
بالنسبة لموظفين شركة العربي فقط هنقول : لو العميل مفعل الخدمه مع شركات تانيه لازم يقفل المديونية معاهم وبعدها بيقدم طلب زيادة الليمت من خلال ال HR"
1167,0a11cf7d525e5d63bc439b0bb5c925d7,0,halan,Commerce,Complain,Non-Technical Issue,Yes,ok,Canceled Order – Money Not Return to Halan Card,شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا,yes,"Vertical: Commerce | Type: Complain | Issue: Non-Technical Issue | Escalation: Yes

Question EN: Canceled Order – Money Not Return to Halan Card
Question AR: شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا

Script:
شكوى عميل من عدم رد مبلغ أوردر ملغي لكارت حالا:
Halan Gomla → Complaints related to Product
انا بعتذر جدا لحضرتك استأذنك ممكن توضح لى الرقم اللى حضرتك طلبت بيه.
هيتم التأكد من تفاصيل أوردر العميل.
تم تقديم شكوى لحضرتك وهيتم حل المشكلة في 48 ساعة عمل.
- Escalation: Yes"
1171,58851cf56eab5436a7a6cf4482178363,0,halan,General,Inquiry,Technical Issue,No,ok,General Inquiry (Cash it),(Cash it) استفسار عميل عن امكانية كتابة جميع نوعيات المنتجات عند التقديم,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: General Inquiry (Cash it)
Question AR: (Cash it) استفسار عميل عن امكانية كتابة جميع نوعيات المنتجات عند التقديم

Script:
استفسار عميل عن امكانية كتابة جميع نوعيات المنتجات عند التقديم:
يتم اختيار منتج واحد في ال Category حتى في حالة وجود اكتر من نوعية منتج في الايصال. يتم كتابة قيمة الايصال بالكامل أو جزء منه بناءا على قيمة التمويل التي تريدها لا يشترط طلب تمويل بقيمة الايصال بالكامل.
Cash It -> Inquiry -> General Inquiry"
1175,c850b7dfb927530395e69617f1c640d5,0,halan,General,Inquiry,Technical Issue,No,ok,SLA for transferring money (Cash it),(Cash it) مدة تحويل التمويل,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: SLA for transferring money (Cash it)
Question AR: (Cash it) مدة تحويل التمويل

Script:
مدة تحويل التمويل:
يتم تحويل التمويل في خلال 3 ايام عمل بعد الموافقة على الطلب. A علي المحفظة الالكترونية او الحساب البنكي بناءا على اختيارك. يتم ارسال SMS بتحويل المبلغ.
Cash It -> Inquiry -> SLA for transferring money"
1176,bfd6812c90fe59819d81a42e03046211,0,halan,General,Inquiry,Technical Issue,No,ok,Asked about installment tenures (Cash it),(Cash it) استفسار العميل عن مدة التقسيط,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Asked about installment tenures (Cash it)
Question AR: (Cash it) استفسار العميل عن مدة التقسيط

Script:
استفسار العميل عن مدة التقسيط:
مدة التقسيط تبدأ من 6 شهور حتى 36 شهور يتم تحديدها من خلال التطبيق بناءا على المدة المناسبة معك.
Cash It -> Inquiry -> Asked about installment tenures"
1177,8ecf25cf9e945a79a669bfd0fb28344a,0,halan,General,Inquiry,Non-Technical Issue,No,ok,Asked about interest rate & Admin fees (Cash it),هل يوجد رسوم او فائدة على الخدمة (Cash It),yes,"Vertical: General | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Asked about interest rate & Admin fees (Cash it)
Question AR: هل يوجد رسوم او فائدة على الخدمة (Cash It)

Script:
هل يوجد رسوم او فائدة على الخدمة:
يوجد رسوم 5% يتم خصمها من قيمة التمويل ويتم ظهوره على التطبيق قبل تأكيد عملية السحب. متوسط نسبة فائدة 41% تقريبا على السنة وتختلف بناءا على مدة التقسيط المختارة من التطبيق. A
Cash It -> Inquiry -> Asked about interest rate & Admin fees"
1178,33e105b71ddf5a8a9deb786650af356d,0,halan,General,Inquiry,Non-Technical Issue,No,ok,Asked about rejection reason (Cash it),(Cash it) استفسار عميل عن سبب الرفض,yes,"Vertical: General | Type: Inquiry | Issue: Non-Technical Issue | Escalation: No

Question EN: Asked about rejection reason (Cash it)
Question AR: (Cash it) استفسار عميل عن سبب الرفض

Script:
استفسار عميل عن سبب الرفض:
بعتذر لحضرتك في البداية عن رفض الطلب الخاص بك. A ومن خلالي ايضا هوضح لحضرتك سبب الرفض لكن اولا برجاء توضيح بعض البيانات (الرقم القومي - الاسم > بالكامل - التواصل من نفس الرقم المسجل به الخدمة)
توضیح سبب الرفض من خلال ال Rejection Reason sheet
Cash It -> Inquiry -> Asked about rejection reason"
1179,0d2e355d81ad52e5adca364436540eda,0,halan,General,Inquiry,Technical Issue,No,ok,Asked about his request status (Cash it),(Cash it ) استفسار عميل عن حالة الطلب الخاصة به,yes,"Vertical: General | Type: Inquiry | Issue: Technical Issue | Escalation: No

Question EN: Asked about his request status (Cash it)
Question AR: (Cash it ) استفسار عميل عن حالة الطلب الخاصة به

Script:
استفسار عميل عن حالة الطلب الخاصة به:
من خلال التطبيق يمكن معرفة حالة الطلب الخاصة بيك (قيد الانتظار - تم الموافقة - تم الرفض)
ملحوظة ليك: يمكن معرفة حالة الطلب في حالة الرفض من خلال (Rejection sheet) - يمكن معرفة حالة الطلب من خلال ال CRM في حالة الموافقة -> Loan Issued
Cash It -> Inquiry -> Asked about his request status"
